epoch,train_loss,train_dice,val_loss,val_dice,val_iou,lr
1,0.5204326923404421,0.7257336170900438,0.21477001317237554,0.8847682679954328,0.7958828210830688,0.00019980267284282717
2,0.1531549123781068,0.8882695798646838,0.12098915443608635,0.8972391381598356,0.81557042452327,0.0001992114701314478
3,0.10586372613906861,0.9052003273509789,0.10444672111617892,0.9026620701739663,0.8247045738655224,0.00019822872507286888
4,0.08941503567355019,0.9148873228118537,0.09773524066335276,0.9059434073013172,0.8302269112645534,0.0001968583161128631
5,0.07980006103004728,0.9215135606129962,0.09786065922755945,0.9035467029663552,0.8262165356100654,0.00019510565162951537
6,0.07149103266852243,0.9288007252556936,0.09547390524101884,0.9057349160052183,0.8298364339167611,0.00019297764858882514
7,0.06480300056082862,0.9346170860245113,0.09637664944717758,0.9054095948997297,0.8291010375608479,0.00019048270524660196
8,0.05919514705027853,0.9398146682693852,0.09490914838878732,0.9079381494145646,0.8332890298282889,0.00018763066800438633
9,0.05485345597778048,0.943807638713292,0.09575383522008594,0.9070396637707429,0.8317413811098064,0.0001844327925502015
10,0.051990722801004134,0.9465573755900063,0.09694792722400866,0.9065665200091245,0.8309375617587776,0.0001809016994374947
11,0.04910236929144178,0.9492471576872322,0.09602747181136358,0.9089062009987078,0.8347891877617752,0.0001770513242775789
12,0.04654586415205683,0.9517951751890638,0.09750268490690935,0.9082189270278864,0.8336718119027321,0.00017289686274214112
13,0.04434923318879945,0.9540183063915798,0.09950924076532063,0.9074884857002056,0.8325202559169972,0.00016845471059286885
14,0.04188688397407532,0.9565110477947054,0.09967829051770662,0.9073786155173655,0.8324443253508784,0.00016374239897486894
15,0.040976905929190774,0.9573934984207149,0.09929767103963777,0.9095357353227179,0.8358390430609385,0.00015877852522924732
16,0.038548239937850406,0.9597849856104168,0.1025414259025925,0.9078632274217774,0.8330375442379401,0.00015358267949789963
17,0.037378046682902746,0.9609267267726711,0.1023753959881632,0.9074348551139498,0.8325674685469844,0.0001481753674101715
18,0.03506136199193342,0.9634243092082797,0.10231547939934228,0.9093792909070068,0.8356637353436991,0.00014257792915650723
19,0.0341913405167205,0.9642494737534288,0.10306581011728237,0.9092068666951699,0.8353336254755657,0.00013681245526846777
20,0.03290199426668031,0.9655890345573426,0.10374660603702068,0.9098109623842069,0.8364074512531882,0.0001309016994374947
21,0.03194674877183778,0.9664554452896126,0.10445701674019035,0.9099060605492507,0.8364619178730146,0.00012486898871648543
22,0.030642459797007696,0.9679635613305229,0.10536782472933594,0.9101779936698445,0.8370152988977599,0.00011873813145857245
23,0.029850120427353043,0.9687997329802747,0.10766238248661945,0.909649638753188,0.8361351474335319,0.00011253332335643042
24,0.028550662845373154,0.9700825108800616,0.10673514263410318,0.9108190682896398,0.8380926329838604,0.00010627905195293131
25,0.02744329769696508,0.9712059456961494,0.10790436812921574,0.9106948746923814,0.8377610575734523,9.999999999999996e-05
26,0.027091142811945506,0.9715983591760908,0.10826040961240467,0.9109516190855127,0.8381865024566653,9.372094804706863e-05
27,0.026522047157798493,0.9721227141789027,0.1093291936344222,0.9108807491628748,0.8381297426265584,8.746667664356955e-05
28,0.02570390757705484,0.9730291726475663,0.10972277369154126,0.9112498666110792,0.8387164097083243,8.12618685414275e-05
29,0.02463273388998849,0.9741444885163081,0.11220547105920942,0.9109488213271426,0.838238090799566,7.513101128351448e-05
30,0.023749764668090003,0.975091309433891,0.11208765698890936,0.9115319753948011,0.8391562491132503,6.909830056250526e-05
31,0.022947839573025704,0.9760025802112762,0.11478488951137192,0.9107558439698137,0.8378814223565554,6.318754473153221e-05
32,0.022535320733274734,0.9763961879412331,0.11541905058057685,0.9107610928384879,0.8378962304508477,5.7422070843492714e-05
33,0.021769852606313568,0.9771806515966138,0.11594986699913677,0.9109641433807842,0.8382393665481033,5.182463258982844e-05
34,0.021506512154425894,0.977477654388973,0.11780598445942528,0.9105059514965926,0.8374882235861661,4.6417320502100296e-05
35,0.020983630950961795,0.9779788441885087,0.11758450359890335,0.9113505425160394,0.8388570071312419,4.122147477075268e-05
36,0.020652302748390607,0.9784112850824989,0.11815879788053663,0.9110214490639535,0.8383195421151948,3.6257601025131006e-05
37,0.02012530322585787,0.9789876160167513,0.11897489840262815,0.9113428158718242,0.8388848106066383,3.154528940713111e-05
38,0.019631070100835393,0.9794603510130012,0.11932585192354102,0.9113304452937946,0.8388556566154746,2.710313725785885e-05
